time,follower
2022-07-30 19:52:43,963917
2022-07-30 20:02:50,963965
2022-07-30 20:07:45,964033
2022-07-30 20:12:33,964108
2022-07-30 20:17:28,964166
2022-07-30 20:22:24,964251
2022-07-30 20:27:32,964304
2022-07-30 20:32:32,964364
2022-07-30 20:37:30,964428
2022-07-30 20:42:49,964509
2022-07-30 20:47:48,964574
2022-07-30 20:52:50,964631
2022-07-30 20:57:46,964686
2022-07-30 21:02:38,964745
2022-07-30 21:07:35,964792
2022-07-30 21:12:39,964851
2022-07-30 21:17:41,964899
2022-07-30 21:22:51,964982
2022-07-30 21:27:50,965042
2022-07-30 21:32:47,965126
2022-07-30 21:37:42,965172
2022-07-30 21:42:46,965218
2022-07-30 21:47:38,965258
2022-07-30 21:52:33,965309
2022-07-30 21:57:40,965361
2022-07-30 22:02:35,965407
2022-07-30 22:07:27,965454
2022-07-30 22:12:33,965492
2022-07-30 22:17:37,965546
2022-07-30 22:27:41,965619
2022-07-30 22:32:42,965663
2022-07-30 22:37:47,965707
2022-07-30 22:42:39,965746
2022-07-30 22:47:50,965799
2022-07-30 22:53:02,965859
2022-07-30 22:58:02,965911
2022-07-30 23:02:56,965976
2022-07-30 23:07:55,966014
2022-07-30 23:13:04,966061
2022-07-30 23:18:09,966104
2022-07-30 23:28:15,966164
2022-07-30 23:44:03,966212
2022-07-30 23:54:29,966267
2022-07-31 00:04:40,966309
2022-07-31 00:14:46,966345
2022-07-31 00:30:38,966396
2022-07-31 00:45:52,966441
2022-07-31 01:02:08,966479
2022-07-31 01:24:10,966524
2022-07-31 01:45:57,966568
2022-07-31 02:07:29,966608
2022-07-31 02:35:46,966654
2022-07-31 03:04:50,966702
2022-07-31 03:57:46,966740
2022-07-31 05:00:38,966779
2022-07-31 06:55:32,966817
2022-07-31 07:37:50,966853
2022-07-31 08:05:03,966892
2022-07-31 08:44:01,966934
2022-07-31 09:04:07,966973
2022-07-31 09:29:42,967026
2022-07-31 09:48:46,967078
2022-07-31 10:01:30,967119
2022-07-31 10:13:06,967157
2022-07-31 10:31:22,967202
2022-07-31 10:43:16,967240
2022-07-31 10:53:59,967279
2022-07-31 11:10:30,967335
2022-07-31 11:21:31,967371
2022-07-31 11:32:26,967421
2022-07-31 11:49:14,967468
2022-07-31 12:06:16,967515
2022-07-31 12:17:42,967553
2022-07-31 12:28:40,967594
2022-07-31 12:44:45,967638
2022-07-31 13:00:21,967683
2022-07-31 13:10:49,967721
2022-07-31 13:26:12,967771
2022-07-31 13:41:11,967819
2022-07-31 13:56:52,967865
2022-07-31 14:06:45,967903
2022-07-31 14:16:45,967942
2022-07-31 14:31:55,967994
2022-07-31 14:47:48,968046
2022-07-31 14:58:21,968084
2022-07-31 15:13:14,968132
2022-07-31 15:23:22,968179
2022-07-31 15:38:13,968220
2022-07-31 15:53:47,968271
2022-07-31 16:09:52,968321
2022-07-31 16:25:14,968375
2022-07-31 16:35:11,968416
2022-07-31 16:51:42,968462
2022-07-31 17:07:24,968503
2022-07-31 17:22:40,968544
2022-07-31 17:37:57,968582
2022-07-31 17:58:09,968632
2022-07-31 18:13:11,968683
2022-07-31 18:33:03,968723
2022-07-31 18:48:52,968770
2022-07-31 19:04:09,968818
2022-07-31 19:14:30,968865
2022-07-31 19:35:11,968914
2022-07-31 19:50:22,968956
2022-07-31 20:00:24,968998
2022-07-31 20:15:34,969039
2022-07-31 20:25:34,969080
2022-07-31 20:40:24,969128
2022-07-31 20:50:48,969169
2022-07-31 21:01:12,969218
2022-07-31 21:11:25,969259
2022-07-31 21:21:30,969302
2022-07-31 21:31:46,969354
2022-07-31 21:36:43,969398
2022-07-31 21:41:58,969457
2022-07-31 21:47:16,969509
2022-07-31 21:52:06,969564
2022-07-31 21:57:27,969621
2022-07-31 22:03:03,969680
2022-07-31 22:08:56,969750
2022-07-31 22:14:42,969812
2022-07-31 22:20:02,969859
2022-07-31 22:25:08,969912
2022-07-31 22:30:11,969956
2022-07-31 22:35:48,970017
2022-07-31 22:41:07,970078
2022-07-31 22:46:28,970130
2022-07-31 22:51:49,970179
2022-07-31 22:56:59,970216
2022-07-31 23:02:37,970258
2022-07-31 23:07:48,970310
2022-07-31 23:12:45,970350
2022-07-31 23:17:52,970391
2022-07-31 23:22:55,970433
2022-07-31 23:28:02,970477
2022-07-31 23:33:16,970517
2022-07-31 23:39:24,970565
2022-07-31 23:44:41,970606
2022-07-31 23:50:26,970652
2022-08-01 00:01:22,970716
2022-08-01 00:12:59,970785
2022-08-01 00:24:59,970834
2022-08-01 00:44:30,970875
2022-08-01 01:11:15,970917
2022-08-01 01:25:05,970954
2022-08-01 01:59:50,971001
2022-08-01 02:35:56,971043
2022-08-01 03:19:49,971079
2022-08-01 04:14:00,971116
2022-08-01 06:40:06,971154
2022-08-01 07:55:55,971194
2022-08-01 08:35:55,971243
2022-08-01 09:06:46,971286
2022-08-01 09:36:32,971331
2022-08-01 09:59:21,971382
2022-08-01 10:19:32,971424
2022-08-01 10:33:26,971468
2022-08-01 10:52:49,971507
2022-08-01 11:11:51,971556
2022-08-01 11:30:23,971599
2022-08-01 11:43:19,971638
2022-08-01 12:03:09,971691
2022-08-01 12:22:54,971736
2022-08-01 12:44:10,971791
2022-08-01 13:03:25,971843
2022-08-01 13:15:31,971881
2022-08-01 13:27:46,971928
2022-08-01 13:40:55,971977
2022-08-01 14:01:41,972045
2022-08-01 14:14:39,972090
2022-08-01 14:34:19,972138
2022-08-01 14:46:57,972177
2022-08-01 15:06:31,972229
2022-08-01 15:20:33,972269
2022-08-01 15:40:47,972311
2022-08-01 15:53:38,972350
2022-08-01 16:17:04,972387
2022-08-01 16:29:33,972427
2022-08-01 16:40:34,972467
2022-08-01 17:03:48,972510
2022-08-01 17:14:58,972547
2022-08-01 17:31:42,972594
2022-08-01 17:48:20,972641
2022-08-01 18:04:45,972680
2022-08-01 18:20:28,972728
2022-08-01 18:36:21,972773
2022-08-01 18:52:06,972818
2022-08-01 19:09:26,972859
2022-08-01 19:19:56,972900
2022-08-01 19:31:01,972936
2022-08-01 19:44:52,972983
2022-08-01 20:00:34,973025
2022-08-01 20:11:28,973064
2022-08-01 20:18:35,973106
2022-08-01 20:29:36,973158
2022-08-01 20:41:30,973207
2022-08-01 20:54:34,973259
2022-08-01 21:04:57,973315
2022-08-01 21:15:28,973370
2022-08-01 21:26:32,973427
2022-08-01 21:37:48,973491
2022-08-01 21:49:26,973536
2022-08-01 22:00:22,973584
2022-08-01 22:11:59,973622
2022-08-01 22:23:03,973799
2022-08-01 22:28:48,973925
2022-08-01 22:34:12,974038
2022-08-01 22:40:03,974133
2022-08-01 22:45:18,974225
2022-08-01 22:51:56,974330
2022-08-01 22:57:07,974398
2022-08-01 23:02:23,974472
2022-08-01 23:08:20,974548
2022-08-01 23:14:15,974625
2022-08-01 23:19:58,974690
2022-08-01 23:25:30,974751
2022-08-01 23:32:23,974817
2022-08-01 23:38:55,974892
2022-08-01 23:45:18,974952
2022-08-01 23:51:52,975022
2022-08-01 23:58:42,975065
2022-08-02 00:04:45,975108
2022-08-02 00:10:58,975164
2022-08-02 00:17:12,975219
2022-08-02 00:23:42,975272
2022-08-02 00:30:08,975323
2022-08-02 00:36:42,975370
2022-08-02 00:43:43,975406
2022-08-02 00:51:27,975448
2022-08-02 01:05:56,975519
2022-08-02 01:12:39,975555
2022-08-02 01:20:00,975599
2022-08-02 01:27:24,975635
2022-08-02 01:43:08,975695
2022-08-02 01:58:05,975744
2022-08-02 02:13:54,975791
2022-08-02 02:37:46,975849
2022-08-02 03:01:50,975892
2022-08-02 03:34:57,975931
2022-08-02 04:18:21,975970
2022-08-02 05:17:41,976010
2022-08-02 06:08:56,976050
2022-08-02 06:35:37,976087
2022-08-02 06:53:32,976124
2022-08-02 07:19:04,976193
2022-08-02 07:27:59,976229
2022-08-02 07:45:10,976275
2022-08-02 08:02:27,976335
2022-08-02 08:18:03,976382
2022-08-02 08:32:45,976433
2022-08-02 08:48:05,976511
2022-08-02 08:55:34,976547
2022-08-02 09:10:13,976616
2022-08-02 09:25:04,976684
2022-08-02 09:40:37,976753
2022-08-02 09:48:57,976793
2022-08-02 09:56:39,976830
2022-08-02 10:03:49,976873
2022-08-02 10:17:55,976936
2022-08-02 10:25:19,976978
2022-08-02 10:32:28,977017
2022-08-02 10:39:29,977059
2022-08-02 10:53:10,977117
2022-08-02 11:00:06,977163
2022-08-02 11:13:11,977250
2022-08-02 11:19:32,977317
2022-08-02 11:26:03,977392
2022-08-02 11:32:15,977454
2022-08-02 11:38:18,977495
2022-08-02 11:44:48,977553
2022-08-02 11:51:14,977608
2022-08-02 11:57:51,977652
